31.01391952	CH2O
33.02956959	CH4O
33.0425889	CH5N
35.02523313	CH3F
49.00672566	CH4S
57.0206292	C3H2O
57.03364851	C3H3N
59.03627926	C3H4O
61.02001402	C2H3O2
61.05192933	C3H6O
61.06494864	C3H7N
62.02783905	C2H4O2
63.01676808	CH3NO2
63.06757939	C3H8O
63.0805987	C3H9N
73.01554382	C3H2O2
78.00499512	C2H4OS
78.02275367	C2H4O3
78.08658429	C4H10O
78.0996036	C4H11N
79.02470201	CH4N2O2
79.03772132	CH5N3O
79.04473546	C3H8S
79.07551332	C3H9NO
80.01841722	C2H3FO2
84.95671032	CH2Cl2
89.03649706	C3H4N2O
90.0384454	C2H4N4
90.0632181	C4H7NO
92.01503754	C2H3NO3
92.09188747	C4H10N2
94.05672622	C2H7N3O
94.06374036	C4H10S
94.08149892	C4H10O2
95.9444151	C2Cl2
101.0379036	C5H4O2
101.0509229	C5H5NO
104.0685213	C4H7N3
105.0314117	C3H4N2O2
108.0359908	C2H5N3O2
108.9922216	C3H3ClO2
112.089439	C8H8
112.9959	CH5O4P
117.0328182	C5H4O3
117.1096681	C7H11N
119.0614876	C5H7NO2
120.0504166	C4H6N2O2
121.0002877	C3H2O5
121.0771376	C5H9NO2
121.0901569	C5H10N2O
121.1279489	C7H14O
123.0549957	C3H7N3O2
123.105807	C5H12N2O
124.0379195	C4H8O2S
124.0817167	C4H10N2O2
126.0713282	C4H10O4
126.9751646	CH3O5P
129.0485099	C5H4N4
129.0732826	C7H7NO
129.0863019	C7H8N2
131.0759134	C7H8O2
134.0230215	C6H5ClO
134.0427005	C4H5N3O2
135.0564022	C5H7NO3
135.0694215	C5H8N2O2
135.1072135	C7H12O2
137.0212409	C3H4N2O4
137.0720522	C5H9NO3
137.0850716	C5H10N2O2
138.0740006	C4H9N3O2
139.0499103	C3H7N3O3
139.9453333	C3FeN3
140.0328342	C4H8O3S
140.0766313	C4H10N2O3
141.0903331	C5H12O4
143.0785858	C7H7N3
145.0564438	C5H5N5
145.0681972	C7H7NO2
146.0571263	C6H6N2O2
147.070828	C7H8O3
147.0838473	C7H9NO2
147.0968666	C7H10N2O
148.0289792	C6H6O2S
150.1014457	C6H11N3O
150.1392377	C8H15NO
151.0513168	C5H7NO4
151.0843696	C7H12OS
151.1021281	C7H12O3
152.0402458	C4H6N2O4
152.9977425	C3H3ClN4O
153.0669669	C5H9NO4
153.0799862	C5H10N2O3
153.1060248	C5H12N4O
154.0689152	C4H9N3O3
155.0381653	C5H8ClNO2
155.1724862	C7H19N3
156.0689213	C8H6N2O
157.0852477	C5H12O5
157.1086617	C9H10N2
158.0585328	C8H6O3
159.0474618	C7H5NO3
159.0982731	C9H10O2
159.1112924	C9H11NO
161.0631119	C7H7NO3
161.0761312	C7H8N2O2
162.0520409	C6H6N2O3
162.1028522	C8H11NO2
163.0279506	C5H4N2O4
163.0657426	C7H8O4
164.01022	C6H4ClNO2
164.0807103	C6H9N3O2
164.1185023	C8H13NO2
165.036941	C7H7ClO2
165.8821205	C2Cl4
166.9707911	C3H4Cl2F2O
167.0462314	C5H7NO5
167.0592507	C5H8N2O4
167.0970427	C7H12O4
167.1608734	C9H18O2
168.138049	C6H15N5
169.0618815	C5H9NO5
169.1387314	C7H16N2O2
170.0838633	C6H13NO2S
170.1120165	C10H10N2
170.1914911	C8H21N3
171.0110484	C3H2F6O
172.0913134	C8H9BO3
172.1016279	C10H10O2
173.0211083	C3H8NO5P
173.1035763	C9H10N2O
174.0300708	C4H11O3PS
174.0534474	C8H6O4
175.0068593	C7H5NS2
175.0423764	C7H5NO4
175.0931877	C9H10O3
175.1192263	C9H12N2O
177.0135748	C7H4ClNO2
177.0580265	C7H7NO4
177.9725064	C6H5BrO
178.0977668	C8H11NO3
178.1107861	C8H12N2O2
178.1238054	C8H13N3O
179.0606572	C7H8O5
179.0736765	C7H9NO4
179.2013378	C11H21N
180.0188084	C6H6O4S
180.0318277	C6H7NO3S
180.044847	C6H8N2O2S
180.1134169	C8H13NO3
180.1642282	C10H18O2
181.2039685	C11H22O
182.113423	C12H10O
182.1264423	C12H11N
183.0142786	C7H5NaO2S
183.0541654	C5H8N2O5
183.0893327	C11H8O2
183.0919574	C7H12O5
183.9789638	C6H4Cl2O2
184.0561137	C4H8N4O4
184.1459829	C6H16N6
185.095854	C5H12N4O3
185.9420043	C2H5AsO5
185.9501623	C6H3Cl3
186.0787779	C6H13NO3S
186.1577424	C12H15N
187.0677069	C5H12N2O3S
187.0828408	C9H8N2O2
187.1466715	C11H14N2
188.0791807	C6H11FO5
188.0965426	C10H10O3
188.1733925	C12H17N
189.0160229	C3H8NO6P
189.0798535	C5H14NO4P
189.1362829	C11H14O2
189.8983633	C2H4S5
190.048362	C8H6O5
190.0496279	C6H5N5O2
190.0865881	C6H14FO3P
190.0874199	C8H9N3O2
190.1008829	C6H12F2N2O2
190.1382312	C10H14N2O
191.0195325	C7H5NO3S
191.0881024	C9H10O4
191.0963824	C9H12N2S
191.114141	C9H12N2O2
192.1538813	C10H16N2O
193.0529411	C7H7NO5
194.0770375	C12H6O2
194.1057008	C8H12N2O3
195.0555719	C7H8O6
195.0638519	C7H10N2O2S
195.0685912	C7H9NO5
195.1832331	C11H20O2
196.013723	C6H6O5S
196.0267423	C6H7NO4S
196.1083315	C8H13NO4
196.1187262	C12H10N2
196.1591428	C10H18O3
197.0464492	C5H7N3O5
198.0601883	C6H12N3PS
198.1083376	C12H10O2
198.1370009	C8H16N2O3
199.0821327	C7H13NO3S
199.0842473	C11H8O3
