Formula, something, somethingelse,Formula_mono_iso_wt_nat
C16H14O3,13,15,270.1479717
C17H18N2O6,13,15,365.1675884
C53H86O21,13,15,1111.743966
C27H34O11,13,15,561.3006926
C16H14O4,13,15,286.1428863
C27H34O12,13,15,577.2956072
C16H14O5,13,15,302.137801
C16H14O6,13,15,318.1327156
C16H23N2O6,13,15,357.2033587
C16H14O7,13,15,334.1276302
C27H34O15,13,15,625.280351
C16H14O8,13,15,350.1225448
C20H28N2O5S,13,15,430.2330593
C27H34O16,13,15,641.2752657
C4H8N4O4,13,15,184.0561137
C15H9I3O5,13,15,664.808725
C11H17N2+,13,15,190.169598
C30H38O13,13,15,636.3318864
C23H30N2O4,13,15,423.2917885
C23H30N2O5,13,15,439.2867031
C14H16O4S,13,15,294.1238974
C14H12Cl2O,13,15,280.0734882
C23H30N2O6,13,15,455.2816178
C6H4ClNO2,13,15,164.01022
C14H20N2O,13,15,248.1986008
C10H12N2O3S,13,15,252.0844811
C4H11O3PS,13,15,174.0300708
C15H19NO2,13,15,261.1889363
C15H19NO3,13,15,277.1838509
C3H3ClN4O,13,15,152.9977425
C12H13N5O6S2,13,15,404.0561571
C35H42N2O9,13,15,671.4005201
C42H70O35,13,15,1176.510667
C12H6O2,13,15,194.0770375
C14H21N3O6S,13,15,376.1531785
C12H6O4,13,15,226.0668667
C30H49N3O10S,13,15,676.4056153
C21H36BrNO,13,15,419.2655139
C35H34MgN4O4,13,15,637.3486064
C18H33FeO21,13,15,659.1467623
C16H15Cl3O2,13,15,360.0674403
C35H28O22,13,15,835.2246419
C35H34MgN4O5,13,15,653.343521
C39H41NO19,13,15,867.3551517
C41H52O18,13,15,873.4529132
C27H31O14+,13,15,606.2614127
C28H26N4O3,13,15,498.2825658
C104H172N14O30P2,13,15,2277.491295
C21H35N9O15P2,13,15,745.2165502
C26H33NO4,13,15,450.3252192
C16H26N2O15P2,13,15,566.1285884
C26H33NO5,13,15,466.3201339
C5H12N4O3,13,15,185.095854
C13H19NO,13,15,219.187312
C28H47NO4S,13,15,522.41355
C9H20NO2+,13,15,184.1760837
C3H3ClO2,13,15,108.9922216
C20H33N3,13,15,338.3256495
C31H33N3O6S,13,15,609.3041111
C17H21ClFN3O4,13,15,405.168599
C27H4804,13,15,5192.682035
C27H4805,13,15,5193.68986
C43H48CoN4O16+,13,15,982.3715807
C16H12NO3+,13,15,283.131882
C16H27NO11,13,15,426.209123
C23H21N2NaO6S,13,15,501.1730328
C24H29NO10,13,15,516.2566972
C11H17N3O,13,15,221.1651701
C10H12N2O5S,13,15,284.0743104
C43H70N10O27P2,13,15,1273.503317
C27H31O15+,13,15,622.2563274
C30H31N,13,15,436.34333
C18H22O11,13,15,432.1765986
C21H26O10,13,15,459.2230486
C21H26O12,13,15,491.2128779
C7H9ClO6P2S,13,15,324.9518433
C36H54O2,13,15,554.5331551
C17H10O6,13,15,327.1047703
C24H26N2O16S,13,15,656.1748894
C29H38O11,13,15,591.3387024
C14H20N6O5S,13,15,404.1507656
C6H5BrO,13,15,177.9725064
