Formula, something, somethingelse,Formula_mono_iso_wt_nat
C16H14O3,12,14,254.0942943
C17H18N2O6,12,14,346.1164863
C53H86O21,12,14,1058.56616
C27H34O11,12,14,534.2101119
C16H14O4,12,14,270.0892089
C27H34O12,12,14,550.2050266
C16H14O5,12,14,286.0841236
C16H14O6,12,14,302.0790382
C16H23N2O6,12,14,339.1556115
C16H14O7,12,14,318.0739528
C27H34O15,12,14,598.1897704
C16H14O8,12,14,334.0688674
C20H28N2O5S,12,14,408.1718927
C27H34O16,12,14,614.184685
C4H8N4O4,12,14,176.0545548
C15H9I3O5,12,14,649.7584024
C11H17N2+,12,14,177.138625
C30H38O13,12,14,606.2312413
C23H30N2O4,12,14,398.2205575
C23H30N2O5,12,14,414.2154721
C14H16O4S,12,14,280.0769297
C14H12Cl2O,12,14,266.0265204
C23H30N2O6,12,14,430.2103867
C6H4ClNO2,12,14,156.9930561
C14H20N2O,12,14,232.1575633
C10H12N2O3S,12,14,240.056863
C4H11O3PS,12,14,170.0166514
C15H19NO2,12,14,245.1415789
C15H19NO3,12,14,261.1364935
C3H3ClN4O,12,14,145.9995384
C12H13N5O6S2,12,14,387.0307246
C35H42N2O9,12,14,634.289031
C42H70O35,12,14,1134.369764
C12H6O2,12,14,182.0367794
C14H21N3O6S,12,14,359.1151061
C12H6O4,12,14,214.0266087
C30H49N3O10S,12,14,643.3138655
C21H36BrNO,12,14,397.1980274
C35H34MgN4O4,12,14,598.2430475
C18H33FeO21,12,14,641.0863752
C16H15Cl3O2,12,14,344.0137629
C35H28O22,12,14,800.1072226
C35H34MgN4O5,12,14,614.2379621
C39H41NO19,12,14,827.2272781
C41H52O18,12,14,832.3153649
C27H31O14+,12,14,579.1708321
C28H26N4O3,12,14,466.2004907
C104H172N14O30P2,12,14,2159.183903
C21H35N9O15P2,12,14,715.1727845
C26H33NO4,12,14,423.2409586
C16H26N2O15P2,12,14,548.0808412
C26H33NO5,12,14,439.2358732
C5H12N4O3,12,14,176.0909403
C13H19NO,12,14,205.1466642
C28H47NO4S,12,14,493.3225797
C9H20NO2+,12,14,174.1488553
C3H3ClO2,12,14,105.9821571
C20H33N3,12,14,315.2674481
C31H33N3O6S,12,14,575.2090065
C17H21ClFN3O4,12,14,385.1204621
C27H4804,12,14,5165.591454
C27H4805,12,14,5166.599279
C43H48CoN4O16+,12,14,935.2391831
C16H12NO3+,12,14,266.0811697
C16H27NO11,12,14,409.1584107
C23H21N2NaO6S,12,14,476.1018018
C24H29NO10,12,14,491.1791462
